id	ibge	localidade	valor	label
1	3500105	Adamantina	80.20	Participação da Rede Estadual no Total de Matrículas Iniciais no Ensino Fundamental – Anos Finais (Em %): 80,20
2	3500204	Adolfo	-	Participação da Rede Estadual no Total de Matrículas Iniciais no Ensino Fundamental – Anos Finais (Em %): -
3	3500303	Aguaí	67.09	Participação da Rede Estadual no Total de Matrículas Iniciais no Ensino Fundamental – Anos Finais (Em %): 67,09
4	3500402	Águas da Prata	100.00	Participação da Rede Estadual no Total de Matrículas Iniciais no Ensino Fundamental – Anos Finais (Em %): 100,00
5	3500501	Águas de Lindóia	25.98	Participação da Rede Estadual no Total de Matrículas Iniciais no Ensino Fundamental – Anos Finais (Em %): 25,98
6	3500600	Águas de São Pedro	-	Participação da Rede Estadual no Total de Matrículas Iniciais no Ensino Fundamental – Anos Finais (Em %): -
7	3500709	Agudos	82.12	Participação da Rede Estadual no Total de Matrículas Iniciais no Ensino Fundamental – Anos Finais (Em %): 82,12
8	3500808	Alfredo Marcondes	100.00	Participação da Rede Estadual no Total de Matrículas Iniciais no Ensino Fundamental – Anos Finais (Em %): 100,00
9	3500907	Altair	100.00	Participação da Rede Estadual no Total de Matrículas Iniciais no Ensino Fundamental – Anos Finais (Em %): 100,00
10	3501004	Altinópolis	29.46	Participação da Rede Estadual no Total de Matrículas Iniciais no Ensino Fundamental – Anos Finais (Em %): 29,46
11	3501103	Alto Alegre	100.00	Participação da Rede Estadual no Total de Matrículas Iniciais no Ensino Fundamental – Anos Finais (Em %): 100,00
12	3501202	Álvares Florence	64.25	Participação da Rede Estadual no Total de Matrículas Iniciais no Ensino Fundamental – Anos Finais (Em %): 64,25
13	3501301	Álvares Machado	-	Participação da Rede Estadual no Total de Matrículas Iniciais no Ensino Fundamental – Anos Finais (Em %): -
14	3501400	Álvaro de Carvalho	100.00	Participação da Rede Estadual no Total de Matrículas Iniciais no Ensino Fundamental – Anos Finais (Em %): 100,00
15	3501509	Alvinlândia	100.00	Participação da Rede Estadual no Total de Matrículas Iniciais no Ensino Fundamental – Anos Finais (Em %): 100,00
16	3501608	Americana	56.79	Participação da Rede Estadual no Total de Matrículas Iniciais no Ensino Fundamental – Anos Finais (Em %): 56,79
17	3501707	Américo Brasiliense	48.72	Participação da Rede Estadual no Total de Matrículas Iniciais no Ensino Fundamental – Anos Finais (Em %): 48,72
18	3501806	Américo de Campos	54.48	Participação da Rede Estadual no Total de Matrículas Iniciais no Ensino Fundamental – Anos Finais (Em %): 54,48
19	3501905	Amparo	77.75	Participação da Rede Estadual no Total de Matrículas Iniciais no Ensino Fundamental – Anos Finais (Em %): 77,75
20	3502002	Analândia	-	Participação da Rede Estadual no Total de Matrículas Iniciais no Ensino Fundamental – Anos Finais (Em %): -
