id	ibge	localidade	valor	label
681	681	Região Metropolitana de São Paulo	233478	População Atendida pelo Programa Benefício de Prestação Continuada da Assistência Social (BPC): 233.478
682	682	Região Administrativa de Registro	7603	População Atendida pelo Programa Benefício de Prestação Continuada da Assistência Social (BPC): 7.603
683	683	Região Administrativa de Santos	18665	População Atendida pelo Programa Benefício de Prestação Continuada da Assistência Social (BPC): 18.665
684	684	Região Administrativa de São José dos Campos	26499	População Atendida pelo Programa Benefício de Prestação Continuada da Assistência Social (BPC): 26.499
685	685	Região Administrativa de Sorocaba	30032	População Atendida pelo Programa Benefício de Prestação Continuada da Assistência Social (BPC): 30.032
686	686	Região Administrativa de Campinas	59259	População Atendida pelo Programa Benefício de Prestação Continuada da Assistência Social (BPC): 59.259
687	687	Região Administrativa de Ribeirão Preto	16599	População Atendida pelo Programa Benefício de Prestação Continuada da Assistência Social (BPC): 16.599
688	688	Região Administrativa de Bauru	11072	População Atendida pelo Programa Benefício de Prestação Continuada da Assistência Social (BPC): 11.072
689	689	Região Administrativa de São José do Rio Preto	21723	População Atendida pelo Programa Benefício de Prestação Continuada da Assistência Social (BPC): 21.723
690	690	Região Administrativa de Araçatuba	11733	População Atendida pelo Programa Benefício de Prestação Continuada da Assistência Social (BPC): 11.733
691	691	Região Administrativa de Presidente Prudente	11024	População Atendida pelo Programa Benefício de Prestação Continuada da Assistência Social (BPC): 11.024
692	692	Região Administrativa de Marília	13123	População Atendida pelo Programa Benefício de Prestação Continuada da Assistência Social (BPC): 13.123
693	693	Região Administrativa Central	9380	População Atendida pelo Programa Benefício de Prestação Continuada da Assistência Social (BPC): 9.380
694	694	Região Administrativa de Barretos	5857	População Atendida pelo Programa Benefício de Prestação Continuada da Assistência Social (BPC): 5.857
695	695	Região Administrativa de Franca	8807	População Atendida pelo Programa Benefício de Prestação Continuada da Assistência Social (BPC): 8.807
